bact.trt,Plant,Wt,Block,host.trt,species,n.strains,nodulation,rhiz.strain,rhiz.genus,bact.div
14,B,4.53,A,sal,sal,1,5,D2,sino,1
14,A,3.51,B,sal,sal,1,5,D2,sino,1
14,B,5.14,D,sten,sten,1,4,D2,sino,1
14,A,2.81,E,sten,sten,1,5,D2,sino,1
14,B,4.95,E,sten,sten,1,5,D2,sino,1
14,A,2.87,F,sten,sten,1,5,D2,sino,1
14,B,2.29,F,sten,sten,1,4,D2,sino,1
14,B,4.77,D,sal,sal,1,5,D2,sino,1
14,A,3.95,E,sal,sal,1,4,D2,sino,1
14,B,6.57,E,sal,sal,1,5,D2,sino,1
14,A,2.13,F,sal,sal,1,5,D2,sino,1
14,B,3.51,F,sal,sal,1,5,D2,sino,1
14,B,1.65,D,sal&sten,sal,1,4,D2,sino,1
14,A,3.28,E,sal&sten,sten,1,4,D2,sino,1
14,B,1.98,E,sal&sten,sal,1,4,D2,sino,1
14,A,2.73,F,sal&sten,sten,1,5,D2,sino,1
14,B,2.67,F,sal&sten,sal,1,5,D2,sino,1
14,B,2.8,B,sal,sal,1,5,D2,sino,1
14,A,4.83,C,sal,sal,1,5,D2,sino,1
14,B,4.1,C,sal,sal,1,5,D2,sino,1
14,A,2.94,D,sal,sal,1,4,D2,sino,1
14,B,4.35,C,sal&sten,sal,1,3,D2,sino,1
14,A,2.2,D,sal&sten,sten,1,4,D2,sino,1
15,B,0.06,E,sal,sal,1,0,D3,sino,1
15,A,0.12,F,sal,sal,1,1,D3,sino,1
15,B,0.11,C,sten,sten,1,0,D3,sino,1
15,A,0.25,D,sten,sten,1,0,D3,sino,1
15,B,0.1,D,sten,sten,1,0,D3,sino,1
15,A,0.07,E,sten,sten,1,0,D3,sino,1
15,B,0.08,E,sten,sten,1,0,D3,sino,1
15,A,0.17,F,sten,sten,1,0,D3,sino,1
15,B,0.19,F,sten,sten,1,0,D3,sino,1
15,B,0.0318,D,sal,sal,1,0,D3,sino,1
15,A,0.1,E,sal,sal,1,0,D3,sino,1
15,A,0.03,C,sal&sten,sten,1,0,D3,sino,1
